"Proper Name","Designation","HIP","Bayer ID","Constellation","Origin","Ethnic-Cultural_Group_or_Language","Reference","Additional info, e.g. constellation","Date of Adoption"
"Anser","HR 7405","","α Vul","Vul","Johannes & Elisabetha Hevelius created “Vulpecula cum Ansere” (the Little Fox with the Goose) out of unformed stars in the space between Cygnus and Aquila. The constellation first appeared in Firmamentum Sobiescianum sive Uranographia (1687) and the accompanying introductory text, Prodromus astronomiae (1690). To emphasize that it was his own creation, Hevelius dedicated Figure L to the pair, shown as a detail in Fig. 3.1. In atlases published before Hevelius, its stars are shown simply marking the flow of the Milky Way through the area. Ian Ridpath (1989) noted that “Hevelius placed the fox near two other hunting animals, the eagle (the constellation Aquila) and the vulture (which was an alternative identification for Lyra). He explained that the fox was taking the goose to neighbouring Cerberus, another of his inventions.”unnamed before.","Latin","Firmamentum Sobiescianum sive Uranographia (1687)","Vulpecula","30/06/2017"
"Antares","HR 6134","80763","α Sco","Sco","From its ancient Greek name ἀντάρης, ""like Ares"", likening the red colour of this star to its planetary namesake (the Roman Mars). Reapplied in Renaissance times. Possibly the Greek name goes back to a Sumerian precursor (as suggested by Horowitz).","Greek","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","Scorpius","30/06/2016"
"Antinous","HD 191692","99473","θ Aql","Aql","A ""sub""-constellation (or asterism) Antinous was created by Ptolemy of Alexandria and published in the Almagest star catalogue 137 CE. It is placed in the constellation of Aquila, The Eagle.","Greco-Roman","see ASE","","16/05/2024"
"Arcalís","HD 131496","72845","_ Boo","Boo","Arcalis is a famous peak in the north of Andorra, where the Sun passes through a hole in the mountain twice a year at fixed dates. It was used as a primitive solar calendar and reference point for shepherds and early inhabitants of Andorra.","Catalan","2019 IAU100 NameExoWorlds","Bootes","17/12/2019"
"Arcturus","HR 5340","69673","α Boo","Boo","From its ancient Greek name Ἀρκτοῦρος, ""the Guard, or Guardian"". Reapplied in Renaissance times. As the Greek word  Άρκτος, ""bear,"" also came to mean ""north,"" the meaning can ambiguously be ""Guardian of the North"" and ""Guardian of the Bear"", referring to the nearby constellation Ursa Major.","Greek","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","Bootes","30/06/2016"
"Arkab Posterior","HR 7343","95294","β2 Sgr","Sgr","Applied in recent times from an abbreviation of its sci-A name 'urqub al-rami, ""the Archer's Achilles Tendon.""","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","Sagittarius","05/10/2016"
"Arkab Prior","HR 7337","95241","β1 Sgr","Sgr","Applied in recent times from an abbreviation of its sci-A name 'urqub al-rami, ""the Archer's Achilles Tendon.""","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","Sagittarius","05/10/2016"
"Arneb","HR 1865","25985","α Lep","Lep","Applied in recent times from the sci-A constellation name al-arnab ""the Hare"", for Lepus.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","Lepus","20/07/2016"
"Ascella","HR 7194","93506","ζ Sgr","Sgr","ascella (""armpit""). Although it appeared in the 1515 Almagest, the name does not appear to have come into common usage until the 20th century after appearing as Ascella in Richard Hinckley Allen's ""Star Names Their Lore and Meaning"" (1899).","Latin","Ptolemaeus. (1515). Almagestū Cl[audii] Ptolemei Pheludiensis Alexandrini Astronomo[rum] principis : opus ingens ac nobile omnes celorū motus continens ... Liechtenstein, Petrus. p.84.","","12/09/2016"
"Asellus Australis","HR 3461","42911","δ Cnc","Cnc","From their joint Roman name the Aselli (and also Asini), ""the Asses"" of ""Donkeys"", being a translation of these stars' Greek name. Reapplied in Renaissance times, along with the Latin distinctions of ""northern"" and ""southern"".","Latin","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","Cancer","06/11/2016"
"Asellus Borealis","HR 3449","42806","γ Cnc","Cnc","From their joint Roman name the Aselli (and also Asini), ""the Asses"" of ""Donkeys"", being a translation of these stars' Greek name. Reapplied in Renaissance times, along with the Latin distinctions of ""northern"" and ""southern"".","Latin","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","Cancer","06/11/2016"
"Ashlesha","HR 3482","43109","ε Hya","Hya","","--","--","Hydra","01/06/2018"
"Aspidiske","HR 3699","45556","ι Car","Car","Applied in recent times from the Greek word ἀσπιδίσκη, ""little shield"", used by Ptolemy in the Almagest in describing several stars in his constellation Argo, that were fixed to the ship for protection and decoration. Ptolemy's shields were in today's Puppis and Vela, but their identification was confused when Argo was divided into the modern Carina, Puppis, Vela and Pyxis.","Greek","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","Carina","20/07/2016"
"Asterope","HR 1151","17579","21 Tau","Tau","These names were individually applied in Renaissance times from a family of characters in Greek mythology: Atlas, Pleione and their seven daughters, the Pleiades.","Greek","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","Taurus","21/08/2016"
"Atakoraka","WASP-64","0","_ CMa","CMa","Atakoraka means the chain of the Atacora: the largest mountain range in Togo.","Ewe","2019 IAU100 NameExoWorlds","Canis Major","17/12/2019"
"Athebyne","HR 6132","80331","η Dra","Dra","","--","--","Draco","05/09/2017"
"Atik","HR 1131","17448","ο Per","Per","Applied in recent times (also to ζ Per), from an abbreviation of the ind-A name 'atiq al-thurayya, ""the Collarbone of the Pleiades,"" for ο and ζ Per, after their location in the ind-A asterism here","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","Perseus","12/09/2016"
"Atlas","HR 1178","17847","27 Tau","Tau","These names were individually applied in Renaissance times from a family of characters in Greek mythology: Atlas, Pleione and their seven daughters, the Pleiades.","Greek","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","Taurus","21/08/2016"
"Atria","HR 6217","82273","α TrA","TrA","Contraction of Bayer designation A(lpha) Tri(anguli) A(ustralis).","Latin","""The American Nautical Almanac for the Year 1952"" (United States Naval Observatory, Washington D.C.).","Name listed as ""Alpha Tri. Aust."" in 1951 American Nautical Almanac, but listed as ""Atria"" in 1952 version and subsequent versions.","20/07/2016"
"Avior","HR 3307","41037","ε Car","Car","Invented for The Air Almanac of the HM Nautical Almanac Office","English","""A Personal History of H.M. Nautical Almanac Office: 30 October 1930-18 February 1972"" by Donald H. Sadler.  Edited by George A. Wilkins. Sidford, Devon, 2008. Copyright United Kingdom Hydrographic Office, 2008.","Carina","20/07/2016"
"Axólotl","HD 224693","118319","","Cet","Axólotl means water animal in the native Nahuatl language, which is a unique and culturally significant endemic amphibious species from the basin of Mexico.","Nahuatl","2019 IAU100 NameExoWorlds","Cetus","17/12/2019"
"Ayeyarwady","HD 18742","13993","","Eri","Ayeyarwady is the largest and most important river in Myanmar.","Burmese","2019 IAU100 NameExoWorlds","Eridanus","17/12/2019"
"Azelfafage","HR 8301","107136","π1 Cyg","Cyg","From the sci-A constellation name al-sulahfat, ""the Tortoise,"" for Lyra ( corresponding to the Greek image of a tortoise shell for the Lyre's soundboard). Transliterated as Azelfage, a Medieval Latin translator erroneously attributed this constellation name to Cygnus. Then in Renaissance times, the corruption ""Azelfafage"" was applied as a star name to π1 Cyg.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","Cygnus","12/09/2016"
"Azha","HR 874","13701","η Eri","Eri","Applied in recent times from an abbreviation of the ind-A asterism name udhi al-na'am, ""the Ostrich's Nest,"" for ζ, ρ2,3, η  and τ1 Eri, and ε and π Cet.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","Eridanus","12/09/2016"
"Azmidi","HR 3045","38170","ξ Pup","Pup","","--","--","Puppis","01/06/2018"
"Añañuca","GJ 367","","","Vel","Añañuca (Phycella cyrtanthoides) is the name of a red wildflower that grows from the Coquimbo region to the Maule region, whose colour alludes to that of the star GJ 367.","Spanish","NEWC Chile: Names of flowers endemic to Chile, whose characteristics allude to the properties of the named celestial objects.","","01/08/2023"
"Baekdu","HD 133086","73136","8 UMi","UMi","Baekdu is the highest mountain on the Korean peninsula, situated in North Korea, and symbolises the national spirit of Korea.","Korean","2019 IAU100 NameExoWorlds","Ursa Minor","17/12/2019"
"Bake-eo (or Bake Eo)","HR 6629","87108","γ Oph","Oph","A Marshallese star name for γ Oph. Pronounced ""bakey-yew"". Both spellings, ""Bake-eo"" and ""Bake Eo"" are accepted. The particle ""Eo"" simply means ""here it is, take it"", Bake is the spondylus mussel.","Marshallese","see ASE","","20/08/2024"
"Barnard's Star","GJ 699","87937","V2500 Oph","Oph","Named after American astronomer E. E. Barnard who first measured the record high proper motion for this star in 1916, the name started appearing in the astronomical literature in the follow-up studies of the star and came into common use starting in the 1920s.","Contemporary","E.C. Pickering 1916, Popular Astronomy, 24, 690 reported multiple news items with title ""Parallax of Barnard's Star with Large Proper Motion"" summarizing letters from Frank Schlesinger, Director of Allegheny Observatory, and Prof. Henry Norris Russell, Princeton University, summarizing preliminary parallax estimates for the star.","Ophiuchus","01/02/2017"
"Baten Kaitos","HR 539","8645","ζ Cet","Cet","Applied in recent times from its sci-A name batn qaitus, ""the Sea Monster's Belly.""","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","Cetus","12/09/2016"
"Batsũ̀","LHS 3844","","","Ind","Batsũ̀ means “hummingbird” in the Bribri language. Batsũ̀ are the messengers of the creator Sibö̀, a culture hero and creator of Earth and Humanity.","Bribri","NEWC Costa Rica: Names of culturally significant animals in the language of the Bribri people from Costa Rica.","","01/08/2023"
"Beemim","HR 1393","20535","υ3 Eri","Eri","Spelling variations of this name appeared in medieval sources for star 29 in Eridanus in the Almagest (Upsilon3 Eri), with the Alfonsine Tables (1492, Tabule Astronomice Alfonsi Regis) spelling it as ""Beemim"".","corrupted","Ptolemaeus. (1515). Almagestū Cl[audii] Ptolemei Pheludiensis Alexandrini Astronomo[rum] principis : opus ingens ac nobile omnes celorū motus continens ... Liechtenstein, Petrus.","Eridanus","30/06/2017"
"Beid","HR 1298","19587","ο1 Eri","Eri","Applied in recent times from the ind-A name al-baid, ""the Eggs"" for unspecified dim stars around the ind-A ostrich's nest.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","Eridanus","12/09/2016"
"Belel","HD 181342","95124","","Sgr","Belel is a rare source of water in the north of Senegal.","Wolof","2019 IAU100 NameExoWorlds","Sagittarius","17/12/2019"
"Bellatrix","HR 1790","25336","γ Ori","Ori","A Latin name meaning ""the Female Warrior"", given to α Aur in a medieval astrological text (the reason behind this initial application is not fully understood and awaits further findings in corresponding Arabic texts). In late medieval times, bellatrix was transferred to γ Ori, perhaps by association with the name Bellator, ""the Male Warrior"", which was used for Orion in other astrological texts.","Latin","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","Orion","30/06/2016"
"Berehynia","HAT-P-15","0","","Per","Berehynia was a Slavic deity of waters and riverbanks but in more recent times her status has been promoted to that of a national goddess — ""hearth mother, protectress of the earth"".","Ukrainian","2019 IAU100 NameExoWorlds","Perseus","17/12/2019"
"Betelgeuse","HR 2061","27989","α Ori","Ori","Applied with varied spellings since medieval times, from its ind-A name yad al-jauza', ""the Hand of al-jauza'"" (The first medieval transliteration into Latin was bedalgeuze, mistaking the initial Arabic letter as ""b"" instead of ""y."" In Renaissance times this corruption was erroneously attributed to the assumed Arabic word ""bat"" [properly ibt], for ""the Armpit"" of al-jauza', giving rise to the corruption  Betelgeuse"" seen today. Thus by Renaissance times both the ""y"" and ""d"" of the first part of the ind-A name had become corrupted.) The ind-A asterism al-jauza' was a feminine figure represented in the stars of what is today Orion. The origin of its name is unclear (as with nearly all of the ancient group of ind-A names). The root jwz can mean ""middle,"" and the word al-jauza' is structured as a feminine adjective, thus al-jauza' may mean ""the female one, having something about her related to the middle."" There have been different speculations as to what the ""middle"" reference, if that is what it is, could be (for one example). The ind-Arabs' al-jauza' corresponded to what in other cultures was Gemini among the zodiacal signs. The sci-Arabs subsequently used the indigenous name for both the Greek Orion and Twins, leading to some confusion in star names between the two constellations. An alternative sci-A name for Orion was al-jabbar, ""the Giant"" and for Gemini, al-taw'aman, ""the Twins.""","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","Orion","30/06/2016"
